business_name,Address,Founded / Registration Date,Erloschen / Took possesion,Expiration Date
Arthur Lehmann & Co,"Kaiserdamm 38,  Berlin",1924,1935,
J. Brieger,"Kaiserdamm 3a,  Berlin",1935,1939,
Julius & Josef Lewin Tilsit ZN Berlin,"Kaiserdamm 80,  Berlin",1935,1938,
Wohnungsbaugesellschaft Charlottenburg Soorstraße 29 mbH,"Kaiserdamm 80,  Berlin",1925,,
"Wohnungsbaugesellschaft Charlottenburg, Brettschneiderstraße mbH","Kaiserdamm 80,  Berlin",1925,,
Willi Hendelsohn,"Kaiserdamm 82,  Berlin",1937,1939,
Erwin Heidemann,"Kaiserdamm 86,  Berlin",1924,1938,
D. S. Diamant,"Kaiserdamm 90,  Berlin",1920,1937,
Fridolin Grundstücks-GmbH,"Kaiserdamm 98,  Berlin",1922,1940,
Robert Josephson,"Kaiserin-Augusta-Allee  34,  Berlin",,,
Gg. Rüdinger,"Kaiserin-Augusta-Allee  4,  Berlin",,,
Blima Gingold,"Kaiserin-Augusta-Allee  80,  Berlin",,,
Paul Dorff GmbH,"Kaiserin-Augusta-Allee 108/109,  Berlin",1901,,
Gemino Gesellschaft für Mineralöle mbH,"Kaiserin-Augusta-Allee 31,  Berlin",1929,1938,
Charlottenburger Papierwaren GmbH,"Kaiserin-Augusta-Allee 4,  Berlin",1935,1941,
Leib Werner,"Kaiserin-Augusta-Allee 42a,  Berlin",1916,1937,
Schlesingers Apotheke am Gustav Adolf-Platz Charlottenburg Ludwig Schlesinger,"Kaiserin-Augusta-Allee 79,  Berlin",1921,1936,
Hurwitz,"Kaiserin-Augusta-Allee 89,  Berlin",,,
Alfred Fuld-Traumann,"Kaiserin-Augusta-Str. 70,  Berlin",1916,1933,
Paul Guttmann jr.,"Kaiserin-Augusta-Str. 70,  Berlin",1924,1936,
Böhm & Bormann,"Kaiserkorse 001,  Berlin",1937,1938,
Korsettsalon Ilen,"Kaiserkorso  3,  Berlin",,,
Heinrich Katz Fabrikvertretungen,"Kaiserkorso 3,  Berlin",1922,1937,
Anna Jaffé,"Kaiserkorso 4,  Berlin",1904,1938,
B. Hecht,"Kaiserkorso 4,  Berlin",1903,1939,
Jacques Mayer,"Kaiserplatz 6,  Berlin",1920,1939,
Erholungsheim Neubabelsberg,"Kaiserstr.  71,  Berlin",,,
Salomo Kaufmann,"Kaiserstr. 11/12,  Berlin",1908,1938,
Robert Reich,"Kaiserstr. 22,  Berlin",1936,1941,
Sally Lübeck,"Kaiserstr. 22/24,  Berlin",1930,1938,1940
Gustav Pflaumer GmbH,"Kaiserstr. 25,  Berlin",1923,1938,1939
Naftali Parnes,"Kaiserstr. 25a,  Berlin",1922,1939,
Reinstein & Simon,"Kaiserstr. 28,  Berlin",1920,1937,
Adolf Sommerfeld,"Kaiserstr. 28,  Berlin",1919,1939,
Noah Sarembowitz,"Kaiserstr. 28,  Berlin",1909,1939,
Bekleidung für Werktätige Be Ha We Wilhelm Scholem,"Kaiserstr. 32,  Berlin",1927,1938,1944
Wilhelm Scholem,"Kaiserstr. 32a,  Berlin",1919,1944,
Alex Flatow,"Kaiserstr. 33,  Berlin",1920,1940,
Isidor Glaser,"Kaiserstr. 35,  Berlin",1914,1938,
Abé Ringer & Co,"Kaiserstr. 38,  Berlin",1924,1939,
Pelz-Müller Rauchwarengesellschaft mbH,"Kaiserstr. 38,  Berlin",1931,1939,
Caspar Coper,"Kaiserstr. 38,  Berlin",1916,1940,
Bonbon u. Schokoladen-Fabrik Paul Cissarz,"Kaiserstr. 39/40,  Berlin",1909,1936,
E. Mathews & Co,"Kaiserstr. 39/40,  Berlin",1930,1939,
Wilhelm Oppenheimer,"Kaiserstr. 39/41,  Berlin",1927,1938,
Leopold Stern,"Kaiserstr. 41,  Berlin",1903,1932,
Brüder Asriel & Farchy,"Kaiserstr. 41,  Berlin",1908,1938,
Max Neumann Gürtel & Strumpfhalter Fabrik,"Kaiserstr. 41,  Berlin",1910,1938,
Alfred Cohn,"Kaiserstr. 41,  Berlin",1930,1939,
Henriette Jacobi,"Kaiserstr. 41,  Berlin",1918,1940,
Möbel- und Waren-Ausstattung Abisch & Co,"Kaiserstr. 6/7,  Berlin",1926,1937,
S. Jacoby Papierwaren,"Kaiserstr. 8,  Berlin",1900,1939,
R. Baer & Söhne,"Kaiserweg 2,  Berlin",1914,1939,
Ernst Loewenstein,"Kalckreuthstr.  1,  Berlin",,,
Wolff Eppstein,"Kalckreuthstr.  14,  Berlin",,,
Redeventza Deutsch-Rumänische Petroleum-Verkaufs-Gesellschaft mbH,"Kalckreuthstr. 1,  Berlin",1928,1939,
Meico Wäsche Spezial Haus Ludwig Mayer,"Kalckreuthstr. 4,  Berlin",1920,1937,
Julius Neumann & Co,"Kalckreuthstr. 5,  Berlin",1922,1938,1939
Alfred F. Meyer,"Kalkreuthstr. 10,  Berlin",1926,1937,
Adrut-Verlag Berger und Lubowski,"Kalkreuthstr. 15,  Berlin",1927,,
Leiser Grundleger,"Kalkreutstr. 15,  Berlin",1935,1939,
Asco Cigaretten und Tabakwarenvertrieb Sally Cohn,"Kallstr. 24,  Berlin",1933,1934,1939
Franz Rutzen u. Co. Brunnenbau u. Tiefbaugeschäft,"Kamer Str. 29,  Berlin",1900,1940,
Franz Mettner GmbH,"Kanalstr. 162,  Berlin",1936,1939,
Ernst Sochaczewer,"Kanonierstr. 1,  Berlin",1919,1936,
Berliner Juwelen Verkaufsstelle Sally Loewenstein,"Kanonierstr. 10,  Berlin",1917,,
Berliner Lombard-Anstalt AG,"Kanonierstr. 10,  Berlin",1927,,
Walter Wasserzug & Co GmbH,"Kanonierstr. 17/20,  Berlin",1930,1938,
Bank für Montanindustrie AG,"Kanonierstr. 17/20,  Berlin",1912,1938,
Berend & Co,"Kanonierstr. 19,  Berlin",1925,1939,
Fraenkel & Simon,"Kanonierstr. 2,  Berlin",1921,,
Lewin & Dreyfuß KG,"Kanonierstr. 2,  Berlin",1924,,
Julius Kaufmann,"Kanonierstr. 40,  Berlin",1920,1935,
Max Pick,"Kanonierstr. 40,  Berlin",1900,1937,
Max Maennlein,"Kantstr 147,  Berlin",1928,1939,1940
Erna Gongolla,"Kantstr.  118,  Berlin",,,
Felix Joachimssohn,"Kantstr.  128,  Berlin",,,
Leo Rothschild,"Kantstr.  129,  Berlin",,,
Adolf Bloch,"Kantstr.  130,  Berlin",,,
Radio-Hilfe,"Kantstr.  130,  Berlin",,,
Käte Helmig,"Kantstr.  134,  Berlin",,,
Salon Höhne,"Kantstr.  134,  Berlin",,,
Pension Anna Misch,"Kantstr.  149,  Berlin",,,
Arthur Zirker,"Kantstr.  36,  Berlin",,,
Pension Bechthold,"Kantstr.  4,  Berlin",,,
Auguste Zyka,"Kantstr.  41,  Berlin",,,
H. Sonntag ( weibl.),"Kantstr.  42,  Berlin",,,
Richard Walter Fürst,"Kantstr.  47,  Berlin",,,
Hermann  Illmann,"Kantstr.  49,  Berlin",,,
Hermann & Kuttner,"Kantstr.  53,  Berlin",,,
Siegfried Hammel,"Kantstr.  65,  Berlin",,,
David Raff,"Kantstr.  72,  Berlin",,,
Betriebs-Revision GmbH,"Kantstr. 10,  Berlin",1925,1936,
Kommissionswaren-Vertriebs-GmbH,"Kantstr. 102,  Berlin",1931,1935,
J. Biermann,"Kantstr. 123,  Berlin",1901,1939,
Louis Eisner,"Kantstr. 125,  Berlin",1903,1938,1938
Ernst Caspari Autovermietung,"Kantstr. 126,  Berlin",1937,1938,
Kant-Garagenpalast Louis Serlin,"Kantstr. 126/127,  Berlin",1936,1938,1940
Hermann Zernik,"Kantstr. 128,  Berlin",1935,1939,
Julius Fabian Deutsche Marmorwaren,"Kantstr. 128,  Berlin 
    
                                                                                          Blockdammweg 1,",1923,1936,
Manfred Schall,"Kantstr. 129,  Berlin",1908,1938,
Ch. Ehrlich & Co,"Kantstr. 129a,  Berlin",1926,1939,
Moses Warkowetzky,"Kantstr. 134,  Berlin",1922,1939,
Hugo Nathan,"Kantstr. 134b,  Berlin",1916,1935,
Kant-Möbelhaus Jacob Schapira,"Kantstr. 136,  Berlin",1925,1934,
Max Bauchwitz jr.,"Kantstr. 14,  Berlin",1917,1935,
Schneiderwerkstatt Max Spitz,"Kantstr. 149,  Berlin",,,
Alice Matzdorff,"Kantstr. 151,  Berlin",1905,1938,1940
Uhlandapotheke Julius Mehler,"Kantstr. 151,  Berlin",1900,1936,
Dr. Heinrich Lubowski & Co Handelsgesellschaft für chemische Produkte mbH,"Kantstr. 152,  Berlin",1928,1936,
Privat-Auskunftei u. Detektei Gerhard Stensch,"Kantstr. 152,  Berlin",1935,1939,
Frau Elise Bock GmbH,"Kantstr. 158,  Berlin",1909,1935,
Cohen & Behar,"Kantstr. 160,  Berlin",1927,1938,1939
Moderner Schuhsalon Gebrüder Weisz,"Kantstr. 161,  Berlin",1923,1941,
Bernhard Jacobsohn,"Kantstr. 162,  Berlin",1920,1934,1940
Dakma Dampfkessel und Kraftmaschinen GmbH,"Kantstr. 162,  Berlin",1933,1938,
Fabian Lachmann,"Kantstr. 163,  Berlin",1909,1937,
"Böhm, Caminer & Co KG","Kantstr. 163,  Berlin",1924,1940,
I. Unger,"Kantstr. 164,  Berlin",1902,1934,
Dr. Fritz Taussig,"Kantstr. 164,  Berlin",1923,1939,
Zoo-Garagen und Gaststätten Betriebsgesellschaft mbH,"Kantstr. 167,  Berlin",1928,1939,
Franz Calvary,"Kantstr. 19,  Berlin",1914,1933,
Georg Ehrenhaus,"Kantstr. 19,  Berlin",1920,1938,
Jacob Herrmann,"Kantstr. 19,  Berlin",1914,1938,
Siegfried Pollner,"Kantstr. 20,  Berlin",1926,1941,
Samuel Schleimer,"Kantstr. 24,  Berlin",1933,1938,1940
Leopold Brandt,"Kantstr. 28,  Berlin",1935,1938,
"Savigny-Magazin, Inh. Hugo Appelbaum","Kantstr. 28,  Berlin",1900,,
Ingenieurbüro Diplom-Ingenieur Hermann Erhard Axelrad,"Kantstr. 3,  Berlin",1922,1938,1939
Jacob Bärenholz,"Kantstr. 30,  Berlin",1923,1938,1939
Max Lichtenstein,"Kantstr. 30,  Berlin",1938,1939,
R. Baumann Filiale Nachf. Max Pinkus,"Kantstr. 31,  Berlin",1914,1938,
Julius Eimer Textilwaren-Agenturen,"Kantstr. 32,  Berlin",1923,1934,
Paul Knoblauch & Co,"Kantstr. 32,  Berlin",1900,1939,
Martha Ruppin,"Kantstr. 33,  Berlin",1911,1938,
Pelzmoden Kant GmbH,"Kantstr. 35,  Berlin",1930,1936,1940
Karl Braun Eisen- und Röhrenhandlung,"Kantstr. 37,  Berlin",1930,1940,
Pincus Schmelzer Möbel-Ausstattungshaus,"Kantstr. 38,  Berlin",1926,1933,
Hermann Goldberg,"Kantstr. 38a,  Berlin",1900,1931,
Eugen Groß,"Kantstr. 38a,  Berlin",1912,1940,
Ludwig Katzenellenbogen GmbH,"Kantstr. 4,  Berlin",1912,1936,
Neos Laboratorium Dr. Ludwig Cohn,"Kantstr. 44/45,  Berlin",1914,1940,
Buchhandlung Rubin Maß,"Kantstr. 46,  Berlin",1928,1939,1941
Tabakwaren engros für Gastwirte Tefga GmbH,"Kantstr. 5,  Berlin",1925,1937,
Aron Hoffmann,"Kantstr. 52,  Berlin",1902,1940,
Kant Hotel Emil Schneider,"Kantstr. 54,  Berlin",1935,1939,
Georg Silberstein Schneiderartikel-Spezialgeschäft,"Kantstr. 65,  Berlin",1921,1939,
Walter Jacobsohn,"Kantstr. 71,  Berlin",1923,1938,
Max Lichtenstein,"Kantstr. 86,  Berlin",1924,1935,
Aron Salomon,"Kantstr. 90,  Berlin",1901,1936,
Hermann Levy GmbH,"Karl-Egon-Str. 10,  Berlin",1926,1938,
Hermann Levy Juwelen u. Uhren Engros Export,"Karl-Egon-Str. 10,  Berlin",1919,1939,
Paul Bouveron GmbH,"Karl-Friedrich-Platz (Klausener Platz) 3,  Berlin",1919,,
Fritz Jacobowitz,"Karlsruher Str. 10,  Berlin",1920,1939,
Finkelstein & Co,"Karlsruher Str. 2,  Berlin",1924,1939,1939
Max Lewy Landesproducte,"Karlsruher Str. 27,  Berlin",1921,1938,
J. Marcus (I. Marcus),"Karlstr.  17,  Berlin",,,
Otto Becker Handwäscherei,"Karlstr.  24,  Berlin",,,
E. Liebermann Inhaber Bernhard Nathan,"Karlstr. 16,  Berlin",1937,,
Sauerstoff Centrale für medizinische Zwecke Dr. Ernst Silten,"Karlstr. 20a,  Berlin",1919,1938,1938
Kaiser Friedrich Apotheke Dr. Ernst Silten,"Karlstr. 20a,  Berlin",1903,1936,
Dr. Ernst Silten Fabrik chem. Pharmac. Praeparate,"Karlstr. 20a,  Berlin",1919,1938,
Siegfried Seemann Akademische Buchhandlung und Antiquariat,"Karlstr. 23,  Berlin",1910,1938,1938
Julius Zehden,"Karlstr. 24,  Berlin",1905,1938,
J. Schwabe & Co,"Karlstr. 39,  Berlin",1921,1939,1944
S. Karger Verlagsbuchhandlung,"Karlstr. 39,  Berlin",1903,1938,
Richard Wolff Landesproduktengroßhandlung,"Karolingerplatz 3,  Berlin",1922,1936,
Allgemeine Gesellschaft für Bauausführungen mbH,"Karolingerplatz 4,  Berlin",1912,1936,1937
Isidor Kielbik Import und Export,"Karthrinenstr. 5,  Berlin",1920,1932,
Erich Gottfurcht,"Kastanienallee  22,  Berlin",,,
Leo Alterthum Verlag,"Kastanienallee 17,  Berlin",1924,1937,
Apotheke zum Eisernen Kreuz und Drogenhandlung Julius Friedländer,"Kastanienallee 2,  Berlin",1901,1936,
Emil Lange,"Kastanienallee 25,  Berlin",1928,1939,
Glashüttenwerk Elisabethhütte Dr. Ernst Martin GmbH,"Kastanienallee 26,  Berlin",1923,1933,
E. A. Krüger & Friedeberg,"Kastanienallee 26,  Berlin",1899,1938,
Leo Messinger,"Kastanienallee 29,  Berlin",1929,1938,1938
Bertha Gessert,"Kastanienallee 31,  Berlin",1937,1923,
Feige Goldschneider,"Kastanienallee 36,  Berlin",1936,1939,
Möbel Gerson Fachler,"Kastanienallee 42,  Berlin",1930,1933,
Abraham Pfeffer,"Kastanienallee 45,  Berlin",1916,1937,
Möbel-Ausstattungshaus Julius Schrager Möbel Schrager Schrager-Möbel,"Kastanienallee 45/47,  Berlin",1927,1937,
Josef Kamerling & Co,"Kastanienallee 56,  Berlin",1911,1938,
D. Meier,"Kastanienallee 79,  Berlin",1900,,
Frischmann Möbelhandlung GmbH,"Kastanienallee 87,  Berlin",1925,1940,
Jacob Blumenfeld,"Kastanienallee 94,  Berlin",1916,1939,
Paul Moser,"Katharinenstr. 19,  Berlin",1911,1939,
Dr. Adolf Abrahams Laboratorium,"Katharinenstr. 19,  Berlin",1922,,
Moritz Sandelowsky,"Katharinenstr. 2,  Berlin",1925,1935,
Dr. Alexander & Posnanski,"Kaulsdorfer Str. 200,  Berlin",1898,1940,
A. Bores,"Keibelstr.  5,  Berlin",,,
Martin Maschler,"Keibelstr. 11,  Berlin",1921,1938,
"Josef Singer Verlag, AG","Keibelstr. 11,  Berlin",1922,1937,
Saul-Zygmunt Weißmann,"Keine Angabe ,  Berlin",1934,1939,1940
Invention Gesellschaft für Verwaltung und Verwertung chemisch-technischer Patente GmbH,"Keine Angabe ,  Berlin",1931,1935,1937
Interessengemeinschaft von Bauhandwerkern und Lieferfirmen der früheren Fritz Klein AG GmbH,"Keine Angabe ,  Berlin",1933,1936,1937
"Königlich Privilegierte Berlinische Zeitung von Staats- und gelehrten Sachen, Vossische Zeitung. Im Verlage Vossischer Erben GmbH","Keine Angabe ,  Berlin",1909,1930,1936
Bewässerungsgesellschaft Palästina mbH,"Keine Angabe ,  Berlin",1911,1930,1935
Mozartsaal Theaterbetriebsgesellschaft mbH,"Keine Angabe ,  Berlin",1933,1935,1935
Rialto-Fortuna Lichtspiele GmbH,"Keine Angabe ,  Berlin",1933,1935,
von Arnim & Erfurt GmbH,"Keine Angabe ,  Berlin",1923,1935,
Defa Deutsche Export-GmbH,"Keine Angabe ,  Berlin",1917,1936,
Löwen-Apotheke Georg Heering,"Keine Angabe ,  Berlin",1931,1936,
Wa-Ly Filmverleih GmbH,"Keine Angabe ,  Berlin",1929,1936,
Wilhelm Graf Filmverleih GmbH,"Keine Angabe ,  Berlin",1932,1937,
Chemische Fabrik Dr. Seidel & Co GmbH,"Keine Angabe ,  Berlin",1937,1938,
E. Müller & Co,"Keine Angabe ,  Berlin",1934,1938,
Hafrie Liköre Spirituosenfabrikation und Weingroß-Handlung Inh. Helene Friedlaender,"Keine Angabe ,  Berlin",1938,1938,
Tabakwaren-Großhandlung Nordost Asriel Israilovici,"Keine Angabe ,  Berlin",1934,1938,
Eugen Wendriner & Sohn,"Keine Angabe ,  Berlin",1936,1939,
Kingsway Werkzeugmaschinen GmbH,"Keine Angabe ,  Berlin",1937,1939,
Sigmund Simon,"Keine Angabe ,  Berlin",1937,1939,
Spedition und Lagerung Merkur Leopold Abraham,"Keine Angabe ,  Berlin",1935,1939,
Stepp-Daunendecken-Fabrikation Regina Leibler,"Keine Angabe ,  Berlin",1936,1939,
"Strumpfhaus Metzger Nachfolger Bad-Nauheim, Inhaber: Kaufmann Hans Strupp in Friedeberg i. Hessen","Keine Angabe ,  Berlin",1933,1939,
Victor Fischmann,"Keine Angabe ,  Berlin",1936,1939,
B. Ambach jr.,"Keine Angabe ,  Berlin",1937,1940,
"Hugo Haas, Sport- und Regenbekleidung","Keine Angabe ,  Berlin",1938,1940,
Richard Humberg vorm. Tarrasch & Co,"Keine Angabe ,  Berlin",1920,1940,
Wilhelm Schulze Nachf. Berliner Glimmerwarenfabrik,"Keine Angabe ,  Berlin",1935,1940,
Hirschowitz und Baumann,"Keine Angabe ,  Berlin",1938,1943,
Wiesbadener Immobilien-Erwerbs- und Verwertungs-GmbH,"Keine Angabe ,  Berlin",1909,1935,
"Schocken Verlag, Jüdischer Buchverlag, GmbH","Keine Angabe ,  Berlin",1938,1939,
Martin Horwitz,"Keine Angabe ,  Berlin",1937,,
Südost-Handelsgesellschaft von Ramin & Co,"Keine Angabe ,  Berlin",1937,,
Concordia-Apotheke Dr. Max Haase Inhaber Theodor Kauf,"Keine Angabe ,  Velten",1903,1936,
Kosmos Gesellschaft für internationalen Austausch industrieller Erfahrungen mbH,"Keithstr. 10,  Berlin",1920,1939,
Caucasische Handelsgesellschaft mbH,"Keithstr. 11,  Berlin",1920,1932,1937
Vollbrot Verwertungs-GmbH,"Keithstr. 11,  Berlin",1915,1934,1936
Felix Schleier,"Keithstr. 18,  Berlin",1901,1943,
"Gesellschaft für Kreditprüfung, GmbH","Keithstr. 19/20,  Berlin",1927,1937,1939
Scherk GmbH,"Kelchstr. ,  Berlin",1909,1938,1937
Dr. Cassirer & Co AG,"Keplerstr. 20,  Berlin",1920,1935,
Kunstharz-Presserei Carl Germer,"Kepplerstr. 22,  Berlin",1934,,
Ludwig Sommerfeld,"Kieferngrund  6,  Berlin",,,
Richard Wanderer Nutzholzhandlung GmbH & Co,"Kiefholzstr. ,  Berlin",1935,,
Moritz Schild,"Kiefholzstr. 177/178,  Berlin",1914,1940,
Margareten Apotheke Emil Hübner,"Kiefholzstr. 411,  Berlin",1909,1937,
"S. J. Jewelowski, Danzig, mit Zweigniederlassung in Berlin","Kiefholzstr. 416/417,  Berlin",1935,1941,
Ludwig Sallmayer,"Kiefholzstr. 50,  Berlin",1932,1939,
Alfons Spitzer,"Kiefholzstr. 53,  Berlin",1924,1938,1941
Berliner Nutzholz Handlung Erich Graetz,"Kiefholzstr. 53,  Berlin",1938,1940,
Puhl & Wagner Gottfried Heinersdorff,"Kiefholzstr. 72/75,  Berlin",1900,,
Gustav Lemmel,"Kirchbachstr.  7,  Berlin",,,
Adolf Sachs & Co,"Kirchgasse 2/3,  Berlin",1925,1937,
Hermann Felbel,"Kirchstr. 12,  Berlin",,,
Hirsch Ehrlich,"Kirchstr. 22,  Berlin",1922,1936,
Chemische Fabrik Apotheker Weiß GmbH,"Kirchstr. 85,  Berlin",1913,,
Kurhaus Cladow Karl Kutschera,"Kirchweg ,  Berlin",1924,1937,
Max Jany,"Kissingenstr. 45,  Berlin",1934,1939,
Arthur Schwarzer,"Kl. Andreasstr.  4,  Berlin",,,
Kiwan Weizenblut,"Kl. Frankfurter Str.  11,  Berlin",,,
Benno Tropke,"Kl. Hamburger Str.  17,  Berlin",,,
Jacob Koffer,"Kl. Hamburger Str.  18,  Berlin",,,
Jellenick,"Kladow ,  Berlin",,,
Dampfwäscherei Berner Land Brasch & Co,"Klein-Machnower Weg 9/11,  Berlin",1932,1934,1941
"Rudolf Barber, Getreide","Kleinbeerenstr. 28,  Berlin",1919,1939,
Erich Hausmann,"Kleine Alexanderstr. 15,  Berlin",1919,1940,
Sally Last,"Kleine Alexanderstr. 26,  Berlin",1935,1938,1939
Andreas-Drogerie,"Kleine Andreasstr.  12,  Berlin",,,
Martin Cohn,"Kleine Frankfurter Str. 8/9,  Berlin",1916,1938,
Louis Behrendt Alt-Militär-Effekten Großhandlung,"Kleine Hamburger Str. 16,  Berlin",1912,1940,1940
Jules Lang,"Kleine Jägerstr. 5,  Berlin",1922,1938,1939
Alfred Loewe,"Kleine Jägerstr. 5,  Berlin",1902,1939,
E. Hirschfeld & Klemke,"Kleine Jägerstr. 6/7,  Berlin",1926,1938,1939
Bekleidungshaus GmbH,"Kleine Kurstr. 11/12,  Berlin",1923,1937,
Samuel Jurovics,"Kleine Präsidentenstr. 3,  Berlin",1921,1934,
Luise Köhler,"Kleine Präsidentenstr. 4,  Berlin",1906,1938,1939
"Max Tonn Anfertigung u. Vertrieb von Kontor- und Geschäftsmöbeln, Geldschrankschlosserei","Kleine Präsidentenstr. 6,  Berlin",1913,1940,
Elfriede Loew,"Kleiststr.  1,  Berlin",,,
"Bernhard Rosenbaum, Oekonom des Logenhauses","Kleiststr.  10,  Berlin",,,
Conditorei Schneider,"Kleiststr.  13,  Berlin",,,
Kleist-Papierhandlung,"Kleiststr.  24,  Berlin",,,
Leo Weinreb,"Kleiststr.  24,  Berlin",,,
Hans Goldfreund,"Kleiststr.  28,  Berlin",,,
Leo Wollner,"Kleiststr.  28,  Berlin",,,
Eischleb & Neuwahl,"Kleiststr.  3,  Berlin",,,
Jacob Rosenberg,"Kleiststr.  32,  Berlin",,,
Ludwig Weißblatt,"Kleiststr.  8,  Berlin",,,
Georg Michaelis,"Kleiststr. 12,  Berlin",1917,1936,
Berliner Logenhaus Actien-Gesellschaft,"Kleiststr. 12,  Berlin",1901,,
Salomon & Sturm,"Kleiststr. 15,  Berlin",1925,1940,
Amerikanische Corset-Mode Valfer & Co,"Kleiststr. 19,  Berlin",1936,1938,1939
Max Sommerfeld,"Kleiststr. 20,  Berlin",1912,1938,1938
Trauermagazin des Westens Rubens & Co,"Kleiststr. 23,  Berlin",1912,1938,1939
W. &  M. Bernhard,"Kleiststr. 23,  Berlin",1916,1939,
Walter Feldmann,"Kleiststr. 24,  Berlin",1930,1939,
Gebr. Schmidt Feine Pelzwaren,"Kleiststr. 25,  Berlin",1925,1939,
Jersey-Club Paul Weinberg,"Kleiststr. 26,  Berlin",1934,1939,1939
Stambul-Bazar C. Kraus,"Kleiststr. 26,  Berlin",1902,1933,
Bettenhaus Georg Loewenhard,"Kleiststr. 3,  Berlin",,,
Obelisk Verlags-GmbH,"Kleiststr. 31,  Berlin",1923,1937,1939
Naphta Industrie- und Tankanlagen AG (Nitag),"Kleiststr. 31,  Berlin",1922,1934,
Kahan Vermögensverwaltung GmbH,"Kleiststr. 31,  Berlin",1921,1935,
Richard Sinasohn,"Kleiststr. 31,  Berlin",1921,1937,
Kleist-Drogerie Oskar Schmaltz,"Kleiststr. 36,  Berlin",1908,1936,
J. Baruch Kunstverlag,"Kleiststr. 4,  Berlin",1903,1938,1939
Koller & Co GmbH,"Kleiststr. 4,  Berlin",1911,1939,
Joseph Behr,"Kleiststr. 5,  Berlin",1926,1936,
Ernst Behr,"Kleiststr. 5,  Berlin",1920,1938,
Pelz-Modell-Haus Max Weissler,"Kleiststr. 9,  Berlin",1928,,1939
Elisabeth Alexandra Levy,"Klopstockstr.  22,  Berlin",,,
Franz Pawlik,"Klopstockstr.  24,  Berlin",,,
Graf von der Pahlen-Eckau GmbH,"Klopstockstr. 21,  Berlin",1921,,
Norbert Sachter,"Klopstockstr. 29,  Berlin",1922,1942,
Moses Brandler,"Klopstockstr. 30,  Berlin",1902,1930,1932
Hansa-Apotheke Dr. Siegmund Danziger,"Klopstockstr. 37,  Berlin",1900,1936,
Siegmund Ehrenberg Kohlen-Vertrieb,"Klopstockstr. 51,  Berlin",1928,1937,
Felix Calmon,"Klopstockstr. 51,  Berlin",1915,1940,
"Gebr. Rosenberg, Holzgroßhandlung","Klopstockstr. 52,  Berlin",1902,1940,
Markus Mondschein,"Klosterstr.  30,  Berlin",,,
B. & J. Moses,"Klosterstr. 1/2,  Berlin",1920,1938,1939
R. Abraham GmbH,"Klosterstr. 1/2,  Berlin",1922,1934,1938
Max Bloch & Co GmbH,"Klosterstr. 1/2,  Berlin",1924,1938,
Max Gleitzmann,"Klosterstr. 1/2,  Berlin",1930,1938,
Moritz Lewinski Arbeiterconfektion,"Klosterstr. 1/2,  Berlin",1905,1939,
Türk & Co Knaben- u. Jünglingsbekleidung,"Klosterstr. 1/2,  Berlin",1935,1940,
Wewo Werker & Wolffberg,"Klosterstr. 10,  Berlin",1937,1938,1940
Phönix Handelsgesellschaft für Textilwaren mbH,"Klosterstr. 10,  Berlin",1935,1938,1939
Arthur Salzmann,"Klosterstr. 10,  Berlin",1928,1939,
Max Gold,"Klosterstr. 10,  Berlin",1920,1939,
Meyersohn & Co,"Klosterstr. 10,  Berlin",1923,1939,
Heß & Co Strumpfwaren & Trikotagen,"Klosterstr. 10,  Berlin",1934,1940,
Markmann & Jacoby,"Klosterstr. 10,  Berlin",1919,1942,
Lewin & Glück,"Klosterstr. 10/11,  Berlin",1901,1938,1939
Salomon Kurzweg GmbH,"Klosterstr. 100,  Berlin",1932,1937,1939
"Bry, Herzberg & Co GmbH","Klosterstr. 100,  Berlin",1923,1933,1937
Victor & Co,"Klosterstr. 100,  Berlin",1937,1939,
Martin Sternberg & Co,"Klosterstr. 101,  Berlin",1923,1941,
Berlt & Silberstein,"Klosterstr. 13/15,  Berlin",1901,1938,1939
Meder & Thiele GmbH,"Klosterstr. 13/15,  Berlin",1923,1935,1935
Julius Wiener Nachf. GmbH,"Klosterstr. 16,  Berlin",1912,1933,
Julius Wiener Nachf.,"Klosterstr. 16,  Berlin",1932,1941,
Dagobert Weinstock Burschenconfection,"Klosterstr. 17/18,  Berlin",1904,,1932
Else Weinstock,"Klosterstr. 17/19,  Berlin",1935,1938,1940
Moritz Wassermann,"Klosterstr. 17/19,  Berlin",1922,1935,
Gustav Flater Nfg.,"Klosterstr. 17/19,  Berlin",1900,1937,
Wilhelm Cohn,"Klosterstr. 17/19,  Berlin",1902,1939,
Hermann H. Schwarz,"Klosterstr. 17/19,  Berlin",1917,1940,
Gebr. Philippi,"Klosterstr. 17/19,  Berlin",1901,1942,
Willy Hirsch,"Klosterstr. 21,  Berlin",1900,1938,
Betriebsgesellschaft mbH der Carl Cohn AG,"Klosterstr. 21/24,  Berlin",1933,1934,1937
Carl Cohn AG,"Klosterstr. 21/24,  Berlin",1924,1937,
Birenhak & Mandel Herren- und Sport-Bekleidung,"Klosterstr. 3,  Berlin",1937,1940,
Ferd. W. Müller GmbH,"Klosterstr. 34/35,  Berlin",1931,1936,
Max Nußbaum,"Klosterstr. 39,  Berlin",1919,1938,
Bruno Lasnitzki Schuhwaren,"Klosterstr. 4,  Berlin",1934,1939,
Julius Katz,"Klosterstr. 4,  Berlin",1925,1940,
D. & M. Levy,"Klosterstr. 40a,  Berlin",1900,1931,
