"business_name","Address","Founded / Registration Date","Erloschen / Took possesion","Expiration Date","category"
"Paul Stern","Meyerbeerstr. 14,  Berlin","1936","1937.0","","machines, motor vehicles & technical articles"
"H. Sternberg jr.","Meyerbeerstr. 2/4,  Berlin","1874","1939.0","1941.0","textiles and clothing"
"M. Lewinski & Co","Meyerbeerstr. 8,  Berlin","1922","1938.0","","textiles and clothing"
"Adolf Traube","Michaelkirchplatz 20,  Berlin","1900","1938.0","","Nahrungs- und Genussmittel"
"Alfred Feibusch","Michaelkirchstr.  28,  Berlin","","","","electrical goods"
"Walter Speier","Michaelkirchstr.  29,  Berlin","","","","Maschinen und Fahrzeuge, technische Artikel"
"W. Hamann & Co","Michaelkirchstr. 15,  Berlin","1902","1938.0","","leather and shoes"
"Ignaz Rosenbaum","Michaelkirchstr. 17,  Berlin","1918","1938.0","1942.0","machines, motor vehicles & technical articles"
"Anko Gamaschen GmbH","Michaelkirchstr. 17,  Berlin","1932","1938.0","1938.0","textiles and clothing"
"Arena-Schuh- und Gamaschenfabrik Kurt Wolfsohn","Michaelkirchstr. 17,  Berlin","1919","1938.0","1938.0","leather and shoes"
"J. Kaufmann","Michaelkirchstr. 17,  Berlin","1900","1939.0","","metals and metal goods"
"Wima Druck- und Verlagsgesellschaft mbH","Michaelkirchstr. 17,  Berlin","1928","1939.0","","publishing and printing"
"Max Eisenstaedt Druckerei u. Papierhandlung","Michaelkirchstr. 20,  Berlin","1918","1935.0","","publishing and printing"
"Chemische Fabrikation Jacart GmbH","Michaelkirchstr. 20,  Berlin","1932","1937.0","","chemicals and pharmaceuticals"
"Julius Bormaß & Co","Michaelkirchstr. 25,  Berlin","1901","1937.0","","publishing and printing"
"Martin Mendelssohn","Michaelkirchstr. 25,  Berlin","1909","1939.0","","Möbel"
"Berliner Zuckerwaren & Confitüren-Fabrik Sigmund Meyersohn","Michaelkirchstr. 25,  Berlin","1904","1941.0","","Nahrungs- und Genussmittel"
"Georg Meseritz","Michaelkirchstr. 26,  Berlin","1934","1939.0","","textiles and clothing"
"Kunstverlag David Loeser","Michaelkirchstr. 4,  Berlin","1900","1938.0","","publishing and printing"
"Josef Schustermann, Adressen-Verlag","Michaelkirchstr. 8,  Berlin","1923","1936.0","","publishing and printing"
"Samuel Marcus","Milastr. 2,  Berlin","1935","1940.0","","textiles and clothing"
"Maier Margulies","Mirbachstr. 38,  Berlin","1916","1938.0","","Nahrungs- und Genussmittel"
"Moritz Lemberg","Mittelstr. 15,  Berlin","1925","1933.0","1940.0","banks and insurance"
"Verlag der Gesellschaft deutscher Literaturfreunde Robert Alter","Mittelstr. 19,  Berlin","1920","1939.0","","publishing and printing"
"Industrie- und Privat-Bank AG","Mittelstr. 2/4,  Berlin","1923","1935.0","1940.0","banks and insurance"
"J. Michael & Co","Mittelstr. 2/4,  Berlin","1916","1938.0","","metals and metal goods"
"Terra-Aktiengesellschaft für Grundbesitz","Mittelstr. 2/4,  Berlin","1923","","","real estate"
"Albert Kerwitz","Mittelstr. 34,  Berlin","","","",""
"Geva Gesellschaft für die Verwertung von Baustoffen und Baugeräten mbH","Mittelstr. 57,  Berlin","1933","1938.0","1940.0","construction materials and fuel"
"M. Apt","Mittelstr. 57,  Berlin","1899","1939.0","1940.0","metals and metal goods"
"Apt Eisenhandel GmbH","Mittelstr. 57,  Berlin","1932","1935.0","","metals and metal goods"
"Ludwig Cohn & Lewent","Mittenwalder Str. 28,  Berlin","1933","1939.0","","textiles and clothing"
"A. Palis Nachf.","Mittenwalder Str. 6,  Berlin","1900","1939.0","","Nahrungs- und Genussmittel"
"Lebensmittel-Engros-Handlung","Moabit ,  Berlin","","","",""
"Berliner Metallwaren- und Blankschraubenfabrik GmbH","Möckernstr. 111,  Berlin","1929","1938.0","","metals and metal goods"
"Pilsner Urquell Biervertriebsgesellschaft mbH (vormals F. & M. Camphausen)","Möckernstr. 118,  Berlin","1915","1938.0","","Nahrungs- und Genussmittel"
"Emil Grand","Möckernstr. 65,  Berlin","1918","1935.0","","transportation"
"Edith Grand","Möckernstr. 65,  Berlin","1934","1939.0","","chemicals and pharmaceuticals"
"AG für Biervertrieb","Möckernstraße 118, Berlin","1900","1939.0","","Nahrungs- und Genussmittel"
"Swerdloff & Co","Möglinerstr. 1,  Berlin","1936","1938.0","1940.0","textiles and clothing"
"Paul Aschner GmbH","Mohenstr. 37a,  Berlin","1933","1939.0","","textiles and clothing"
"Ludwig R. Simon","Mohenstr. 52/53,  Berlin","1907","1938.0","","banks and insurance"
"Lichter & Nachtigall","Mohrenstr. 13/14,  Berlin","1919","1939.0","1940.0","textiles and clothing"
"Harris Herrenausstattungs-GmbH","Mohrenstr. 13/14,  Berlin","1927","1938.0","1939.0","textiles and clothing"
"Max Dienstag","Mohrenstr. 13/14,  Berlin","1910","1938.0","","textiles and clothing"
"Fritz Singer","Mohrenstr. 13/14,  Berlin","1912","1939.0","","textiles and clothing"
"Marx, Hartl & Co","Mohrenstr. 17/18,  Berlin","1920","1936.0","1940.0","banks and insurance"
"Ludwig Lichtenstädter","Mohrenstr. 17/18,  Berlin","1921","1932.0","","banks and insurance"
"Modellhaus Norbert Jutschenka","Mohrenstr. 19,  Berlin","1939","1938.0","","textiles and clothing"
"Orgler, Fidélmann & Co","Mohrenstr. 20/21,  Berlin","1917","1939.0","1941.0","textiles and clothing"
"Leo Rosenbaum","Mohrenstr. 22,  Berlin","1934","1939.0","1941.0","textiles and clothing"
"Masting & Co","Mohrenstr. 26,  Berlin","1937","1939.0","","textiles and clothing"
"Damen-Sportmäntel Rekord GmbH","Mohrenstr. 29/30,  Berlin","1936","1938.0","1939.0","textiles and clothing"
"Weiß & Götz","Mohrenstr. 29/30,  Berlin","1901","1931.0","","textiles and clothing"
"Nathan & Rosenkranz","Mohrenstr. 29/30,  Berlin","1900","1932.0","","textiles and clothing"
"Grünthal & Co GmbH","Mohrenstr. 29/30,  Berlin","1929","1935.0","","textiles and clothing"
"Salo Hopp","Mohrenstr. 29/30,  Berlin","1928","1935.0","","textiles and clothing"
"A. Saalfeld & Co","Mohrenstr. 29/30,  Berlin","1934","1936.0","","textiles and clothing"
"Hugo Rosenthal","Mohrenstr. 29/30,  Berlin","1934","1939.0","","textiles and clothing"
"Sally Herzfeld Röcke, Kostüme, Mäntel-Fabrikation","Mohrenstr. 29/30,  Berlin","1935","1939.0","","textiles and clothing"
"Friedrich Spitz GmbH","Mohrenstr. 31,  Berlin","1934","1939.0","","textiles and clothing"
"Otto Häufler & Co GmbH","Mohrenstr. 33,  Berlin","1926","1936.0","","textiles and clothing"
"Löwenthal & Kugelmann","Mohrenstr. 34/35,  Berlin","1902","1939.0","1942.0","textiles and clothing"
"Lachmann & Meyer","Mohrenstr. 34/35,  Berlin","1910","1938.0","1940.0","textiles and clothing"
"Brüder Feige","Mohrenstr. 34/35,  Berlin","1926","1938.0","1940.0","textiles and clothing"
"J. Horwitz & Co","Mohrenstr. 35,  Berlin","1902","1931.0","","textiles and clothing"
"Graumann & Stern KGaA","Mohrenstr. 35/37,  Berlin","1922","1932.0","1934.0","textiles and clothing"
"Graumann & Stern","Mohrenstr. 35/37,  Berlin","1932","1938.0","","textiles and clothing"
"Motü Modische Kleider und Blusen GmbH","Mohrenstr. 36/37,  Berlin","1934","1936.0","1939.0","textiles and clothing"
"Ernst Nußbaum Kleider","Mohrenstr. 36/37,  Berlin","1936","1939.0","","textiles and clothing"
"Max Behrendt","Mohrenstr. 36/37,  Berlin","1904","1940.0","","textiles and clothing"
"Felix Würzburg","Mohrenstr. 37,  Berlin","1914","1931.0","","real estate"
"Max Leissner","Mohrenstr. 37,  Berlin","1934","1939.0","","textiles and clothing"
"Simon Westmann Damen Konfektion & Trauer Magazin","Mohrenstr. 37a,  Berlin","1900","1930.0","1932.0","textiles and clothing"
"Herbert Labandter","Mohrenstr. 37a,  Berlin","1934","1938.0","","textiles and clothing"
"Ernst Plachta","Mohrenstr. 37a,  Berlin","1926","1939.0","","textiles and clothing"
"Hirsch & Süßkind","Mohrenstr. 37a,  Berlin","1923","1939.0","","textiles and clothing"
"Lebram & Wallach","Mohrenstr. 37a,  Berlin","1933","1939.0","","textiles and clothing"
"Ella Lehmann GmbH, vorm. Conrad & Rogozinski","Mohrenstr. 37a,  Berlin","","","",""
"Walter Cohn","Mohrenstr. 40,  Berlin","1935","1939.0","","textiles and clothing"
"Eugen Herzberg","Mohrenstr. 40,  Berlin","1901","1940.0","","other"
"Gustav Zacharias","Mohrenstr. 40,  Berlin 
    
                                                                                          Friedrichstr. 62,  Berlin 
    
                                                                                          Leipzigerstr. 96,  Berlin","1926","1941.0","","textiles and clothing"
"Brinitzer & Co","Mohrenstr. 41,  Berlin","1927","1938.0","1939.0","textiles and clothing"
"Hans Seliger","Mohrenstr. 41,  Berlin","1926","1934.0","","textiles and clothing"
"Neiß & Co","Mohrenstr. 41,  Berlin","1933","1939.0","","textiles and clothing"
"Max Lesser jr. GmbH","Mohrenstr. 42,  Berlin","1931","1937.0","1940.0","textiles and clothing"
"Schwarz, Sachs & Wolfsohn","Mohrenstr. 42,  Berlin","1913","1935.0","","textiles and clothing"
"Gebrüder Oppler","Mohrenstr. 42,  Berlin","1905","1940.0","","textiles and clothing"
"Alfred Basch & Kestel GmbH","Mohrenstr. 42/43,  Berlin","1923","1938.0","1940.0","textiles and clothing"
"Glaß & Graetz","Mohrenstr. 42/43,  Berlin","1911","1940.0","","textiles and clothing"
"Max Lesser jr.","Mohrenstr. 42/43,  Berlin","1919","","","textiles and clothing"
"E. Rothe","Mohrenstr. 42/44,  Berlin","1904","1939.0","","textiles and clothing"
"Cohn & Rosenbaum AG","Mohrenstr. 44,  Berlin","1922","1933.0","1935.0","textiles and clothing"
"Blusen Beer Erich Beer","Mohrenstr. 44,  Berlin","1936","1938.0","","textiles and clothing"
"Gebrüder Hirschfeld KG","Mohrenstr. 44,  Berlin","1920","1940.0","","banks and insurance"
"Selly Haase","Mohrenstr. 45,  Berlin","1903","1938.0","","textiles and clothing"
"B. Lewkowitz","Mohrenstr. 45,  Berlin","1901","1939.0","","textiles and clothing"
"Alfred Ellinger","Mohrenstr. 45,  Berlin","1931","1940.0","","textiles and clothing"
"Leopold Seligmann","Mohrenstr. 46,  Berlin","1922","1938.0","","textiles and clothing"
"Suden & Lauer Modelle GmbH","Mohrenstr. 46,  Berlin","1933","1940.0","","textiles and clothing"
"Seiden-Meyer GmbH","Mohrenstr. 46,  Berlin","1928","1936.0","","textiles and clothing"
"Georg Perl","Mohrenstr. 47,  Berlin","1916","1938.0","","textiles and clothing"
"Schwarz, Goldschmidt & Co","Mohrenstr. 54/55,  Berlin","1909","1933.0","1937.0","banks and insurance"
"Olen Reklame GmbH","Mohrenstr. 56/57,  Berlin","1928","1937.0","","advertising"
"AG für Handel und Grundbesitz","Mohrenstr. 57,  Berlin","1924","1934.0","","real estate"
"Leo Perl","Mohrenstr. 6,  Berlin","1901","1939.0","","banks and insurance"
"Gebr. Barasch","Mohrenstr. 61,  Berlin","1918","1939.0","","other"
"Julius Loewenstein","Mohrenstr. 9,  Berlin","1934","1938.0","1940.0","textiles and clothing"
"Georg Fromberg & Co","Mohrenstr. 9,  Berlin","1900","1937.0","","banks and insurance"
"Wiener & Co","Mohrenstr. 9,  Berlin","1909","1942.0","","real estate"
"Hodaco Damenmäntelfabrikation GmbH","Mohrenstr. 92,  Berlin","1934","1936.0","1937.0","textiles and clothing"
"M. Hiller Nachf. AG","Molkenmarkt 11,  Berlin","1922","1938.0","1938.0","textiles and clothing"
"Carl Engel","Molkenmarkt 12/13,  Berlin","1899","","1941.0","textiles and clothing"
"Dagobert Holtz","Molkenmarkt 12/13,  Berlin","1932","1940.0","","textiles and clothing"
"M. Wollner´s Möbeltischlerei Nachf.","Molkenmarkt 3,  Berlin","1900","1938.0","","Möbel"
"Fenster & Stenger","Molkenmarkt 7/8,  Berlin","1904","1938.0","1941.0","Möbel"
"Jenny Jacoby & Selly Haase","Molkenmarkt 7/8,  Berlin","1921","1937.0","","textiles and clothing"
"S. & E. Neumann","Molkenmarkt 7/8,  Berlin","1930","1939.0","","textiles and clothing"
"Kroner & Co","Molkenmarkt 7/8,  Berlin","1922","1940.0","","textiles and clothing"
"Wolpert & Bendix","Molkenmarkt 9/11,  Berlin","1919","1935.0","","textiles and clothing"
"Aktiengesellschaft Lignose","Molktestr. 1,  Berlin","1915","1934.0","","chemicals and pharmaceuticals"
"Adolf Pergamenter","Möllendorfstr.  115,  Berlin","","","","publishing and printing"
"Walther","Möllendorfstr.  94,  Berlin","","","",""
"Ludwig Döblin","Möllendorfstr. 19,  Berlin","1907","1937.0","","construction materials and fuel"
"Walther Samson","Moltkestr. 29,  Berlin","","","","construction"
"Max Wolff","Mommensenstr. 14,  Berlin","1900","1939.0","","Nahrungs- und Genussmittel"
"Ottilie Angreß","Mommsenstr.  32,  Berlin","","","","textiles and clothing"
"Emma Bernstein-Schönfeld","Mommsenstr.  39,  Berlin","","","",""
"Rosa Wegner","Mommsenstr.  42,  Berlin","","","","Nahrungs- und Genussmittel"
"Benno Balah","Mommsenstr.  43,  Berlin","","","",""
"Pension Schwalbe","Mommsenstr.  55,  Berlin","","","","restaurants"
"Heinz Machol, Civ.-Ing., Gutachter","Mommsenstr.  7,  Berlin","","","","Maschinen und Fahrzeuge, technische Artikel"
"Wilhelm Powidzer","Mommsenstr. 11,  Berlin","1920","1938.0","","Nahrungs- und Genussmittel"
"Schönbach & Co","Mommsenstr. 13,  Berlin","1935","1938.0","","banks and insurance"
"Officinalia Pharmazeutische Chemikalien engros Apotheker Leo Löwenthal","Mommsenstr. 13,  Berlin","1919","1942.0","","chemicals and pharmaceuticals"
"Alfred Popper Lederfabrik","Mommsenstr. 14,  Berlin","1924","1938.0","1943.0","leather and shoes"
"Wilhelm Caspary","Mommsenstr. 16,  Berlin","1921","1938.0","1939.0","Nahrungs- und Genussmittel"
"Herm. Winsberg","Mommsenstr. 21,  Berlin","1900","1936.0","","construction materials and fuel"
"Siegfried Jungmann","Mommsenstr. 39,  Berlin","1911","1937.0","","construction materials and fuel"
"Max Lewy","Mommsenstr. 44,  Berlin","1904","1936.0","","paper and paper goods"
"James Rahmig","Mommsenstr. 44,  Berlin","","","","construction"
"Siegfried Markowitz","Mommsenstr. 49,  Berlin","1916","1935.0","","other"
"Georg Hamel","Mommsenstr. 52,  Berlin","1928","1937.0","","Nahrungs- und Genussmittel"
"Colemann GmbH Fabrik chemisch-technischer Produkte","Mommsenstr. 56,  Berlin","1926","1938.0","1940.0","chemicals and pharmaceuticals"
"Julius Husch","Mommsenstr. 58,  Berlin","1920","1939.0","","Nahrungs- und Genussmittel"
"Deutscher Creditoren-Verband GmbH","Mommsenstr. 59,  Berlin","1931","1939.0","","banks and insurance"
"Max Jacob","Mommsenstr. 6,  Berlin","1902","1933.0","1936.0","banks and insurance"
"Martin Kleinecke Wieland-Apotheke","Mommsenstr. 60,  Berlin","1911","1936.0","","pharmacies"
"Salon Vilma Kohn & Hepp","Mommsenstr. 65,  Berlin","1928","1936.0","","textiles and clothing"
"Samuel Neumann","Mommsenstr. 67,  Berlin","1905","1938.0","","banks and insurance"
"Sigbert Ephraim","Mommsenstr. 7,  Berlin","1905","1938.0","","banks and insurance"
"Werner Pinner","Mommsenstr. 71,  Berlin","1926","1938.0","1940.0","banks and insurance"
"J. Wolf Ingenieur Verkaufszentrale GmbH","Mommsenstraße 22,  Berlin","1935","1923.0","",""
"Kurt Levy","Monbijouplatz 1,  Berlin","1921","1938.0","","banks and insurance"
"Moritz Wegier Baugeschäft und Architekturbüro","Monbijouplatz 1,  Berlin","1928","1939.0","","construction"
"Seidel-Schweröl-Apparatur Vertriebsgesellschaft mbH","Monbijouplatz 1,  Berlin","1935","","","machines, motor vehicles & technical articles"
"Jacques Blumenthal","Monbijouplatz 10,  Berlin","1919","1938.0","1941.0","banks and insurance"
"W. Berger","Monbijouplatz 10,  Berlin","1901","1938.0","1939.0","textiles and clothing"
"M. Siegfried Weishaus","Monbijouplatz 10,  Berlin","1921","1938.0","","banks and insurance"
"Adolph Danziger","Monbijouplatz 10,  Berlin","1902","1939.0","","textiles and clothing"
"J. J. Caro","Monbijouplatz 11,  Berlin","1900","1938.0","","banks and insurance"
"Sally Guggenheim GmbH","Monbijouplatz 12,  Berlin","1917","1938.0","1939.0","textiles and clothing"
"Simonowitz & Co","Monbijouplatz 12,  Berlin","1918","1937.0","","transportation"
"Emanuel Wolf","Monbijouplatz 12,  Berlin","1907","1938.0","","textiles and clothing"
"Selmar Heilbrun Nachf.","Monbijouplatz 12,  Berlin","1900","1939.0","","textiles and clothing"
"Benno Fiegel AG","Monbijouplatz 3,  Berlin","1922","1937.0","1935.0","Nahrungs- und Genussmittel"
"Emil Lipmann","Monbijouplatz 3,  Berlin","1925","1938.0","","banks and insurance"
"R. Landauer Nachf.","Monbijouplatz 3b,  Berlin","1902","1936.0","","banks and insurance"
"Weigert & Tobias","Monbijouplatz 5,  Berlin","1919","1937.0","","banks and insurance"
"Hans Schwarz","Monbijouplatz 7/9,  Berlin","1924","1938.0","","banks and insurance"
"Emil Jacobsohn","Monumentenstr. 16,  Berlin","1917","1936.0","","paper and paper goods"
"Siegfried Apotheke Georg Hornig","Monumentenstr. 30,  Berlin","1934","1936.0","","pharmacies"
"Garson","Moosstr.  47,  Berlin","","","",""
"Palous & Co","Moritzstr. 5,  Berlin","1924","","","metals and metal goods"
"Georg Fleischer, Seifenhandlung","Motzstr, 71,  Berlin","1934","1937.0","","chemicals and pharmaceuticals"
"Radiovertrieb Record","Motzstr.  17,  Berlin","","","","electrical goods"
"Hans Eugen Spiegler","Motzstr.  20,  Berlin","","","","leather and shoes"
"Hygienische Kleiderpflege Motzstr.","Motzstr.  28,  Berlin","","","","textiles and clothing"
"Hess Hemden","Motzstr.  34,  Berlin","","","","textiles and clothing"
"Cilly Goldschmidt","Motzstr.  43,  Berlin","","","","textiles and clothing"
"M. Ruben & Benedik","Motzstr.  70,  Berlin","","","","electrical goods"
"Sally Binder","Motzstr.  75,  Berlin","","","","textiles and clothing"
"Diana Pulik","Motzstr.  87,  Berlin","","","","textiles and clothing"
"Riwkess-Döll ( weibl.)","Motzstr.  9,  Berlin","","","",""
"Rudi Buchholz","Motzstr.  9,  Berlin","","","","textiles and clothing"
"Fahrschule Theel","Motzstr.  92,  Berlin","","","",""
"Universal-Drogerie","Motzstr.  95,  Berlin","","","","chemicals and pharmaceuticals"
"Georg Jonas","Motzstr. 18,  Berlin","1913","1937.0","","banks and insurance"
"Hambre Hamburg-Bremer Zigarrenvertrieb GmbH","Motzstr. 26,  Berlin","1927","1938.0","","Nahrungs- und Genussmittel"
"Gebr. Jaroslawsky, Dental-Depot","Motzstr. 32,  Berlin","1901","1937.0","","chemicals and pharmaceuticals"
"Rosy Steindorff","Motzstr. 38,  Berlin","1922","1942.0","","books and art"
"Max Grodszinsky","Motzstr. 40,  Berlin","1920","1938.0","","Nahrungs- und Genussmittel"
"Arkady Chentow","Motzstr. 42,  Berlin","1932","1939.0","","textiles and clothing"
"Florida Grundstücksverwertungsgesellschaft mbH","Motzstr. 47,  Berlin","1922","1938.0","1941.0","real estate"
"Leo Krämer","Motzstr. 47,  Berlin","1926","1935.0","","banks and insurance"
"Dr. Franz Josef Krall","Motzstr. 47,  Berlin","1914","1940.0","","chemicals and pharmaceuticals"
"Felix Rosenthal","Motzstr. 49,  Berlin","1922","1939.0","1940.0","textiles and clothing"
"Bock, Lotte","Motzstr. 63,  Berlin","","","",""
"Max Aufrichtig","Motzstr. 64,  Berlin","1914","1940.0","","textiles and clothing"
"Apotheker Alex Ettinger Roland Drogerie","Motzstr. 70,  Berlin","1904","1938.0","","chemicals and pharmaceuticals"
"Hugo Cohn Herren-Moden","Motzstr. 77,  Berlin","1924","1932.0","","textiles and clothing"
"Buntstoff GmbH","Motzstr. 77/81,  Berlin","1922","1938.0","","textiles and clothing"
"Isidor Gotthilf, Holzgroßhandlung","Motzstr. 84,  Berlin","1920","1937.0","",""
"Moritz Jacoby","Müggelheimer Str. 32,  Berlin","1900","1938.0","","household goods"
"Altenheim Friedrichshagen GmbH","Müggelseedamm 212,  Berlin","","","",""
"Salomon Perl","Mühlenstr.  47,  Berlin","","","","chemicals and pharmaceuticals"
"Martin Kramarski","Mühlenstr.  77,  Berlin","","","","advertising"
"Berliner Photo-Großhandlung Block & Co","Mühlenstr. 10,  Berlin","1900","1939.0","","photography and film"
"Josef Schimek","Mühlenstr. 11,  Berlin","1900","1937.0","1937.0","paper and paper goods"
"Neupa AG für Papier- und Pappenvertrieb","Mühlenstr. 11,  Berlin","1920","","","paper and paper goods"
"Intrator Schimmel & Co Eier-Import u. Exportgeschäft","Mühlenstr. 31/32,  Berlin","1924","1937.0","","Nahrungs- und Genussmittel"
"Ewald Handwein","Mühlenstr. 42,  Berlin","1926","1939.0","","metals and metal goods"
"Vereinigte Knopffabriken J. Abramowsky, Caspar Cohn & Söhne","Mühlenstr. 53/54,  Berlin","1927","1937.0","","textiles and clothing"
"Promural Gesellschaft Schömann & Co","Mühlenstr. 60,  Berlin","1934","1939.0","",""
"Joseph Jacobi Nachf. AG","Mühlenstr. 68a,  Berlin","1922","1936.0","1937.0","textiles and clothing"
"Joseph Jacobi Nachf. GmbH","Mühlenstr. 68a,  Berlin","1932","1939.0","","textiles and clothing"
"Elektromotoren-Werke Hermann Gradenwitz","Mühlenstr. 73,  Berlin","1903","1939.0","","electrical goods"
"R. Flockenhaus sen. Nachf. Dr. Elkeles","Mühlenstr. 8,  Berlin","1900","1939.0","","chemicals and pharmaceuticals"
"Carl Ernst & Co Nachf.","Mühlenstr. 9,  Berlin","1926","1939.0","","paper and paper goods"
"Abraham Feder","Mulackstr.  11,  Berlin","","","","construction"
"Esther Nadel","Müllerstr.  6,  Berlin","","","",""
"Moritz Schaul","Müllerstr.  90,  Berlin","","","","Nahrungs- und Genussmittel"
"Hugo Schwarz","Müllerstr. 1,  Berlin","1912","1940.0","","textiles and clothing"
"Gustav Haase","Müllerstr. 1,  Berlin","1920","","","Nahrungs- und Genussmittel"
"M. Liemann & Co","Müllerstr. 12c,  Berlin","1920","1933.0","","other"
"M. Liemann & Co Zigaretten-Vertrieb GmbH","Müllerstr. 12c,  Berlin","1933","1935.0","","Nahrungs- und Genussmittel"
"H. Nachmann","Müllerstr. 131a,  Berlin","1903","1940.0","","retail shops and department stores"
"Julius Loewenberg","Müllerstr. 139,  Berlin","1901","1936.0","","retail shops and department stores"
"Hut Reich Martha Reich","Müllerstr. 141,  Berlin","1932","1940.0","","textiles and clothing"
"Jacques Rosenberg & Co","Müllerstr. 143a,  Berlin","1919","1937.0","","textiles and clothing"
"Markus Rebensaft","Müllerstr. 144,  Berlin","1923","1939.0","","textiles and clothing"
"Gebrüder Noah","Müllerstr. 146,  Berlin","1916","1939.0","","Nahrungs- und Genussmittel"
"Siegfried Jüttner","Müllerstr. 152,  Berlin","1934","1939.0","","textiles and clothing"
"Otto Flatauer Nachf.","Müllerstr. 153,  Berlin","1911","1938.0","1939.0","textiles and clothing"
"Bruno Eichner","Müllerstr. 155,  Berlin","1936","1940.0","","jewelry and precious metals"
"Daniel Haase","Müllerstr. 173,  Berlin","1920","1938.0","1938.0","textiles and clothing"
"S. Meseritzer","Müllerstr. 173a,  Berlin","1901","1934.0","","leather and shoes"
"Hermann Vortrefflich","Müllerstr. 23a,  Berlin","1902","1937.0","","textiles and clothing"
"Wollkeller Hirschhaut & Co","Müllerstr. 26,  Berlin","1931","1938.0","1940.0","textiles and clothing"
"Fabrik elektrischer Maschinen und Apparate Dr. Max Levy","Müllerstr. 30,  Berlin","1901","1936.0","","machines, motor vehicles & technical articles"
"Schuhhaus Hermann Leiser","Müllerstr. 3a,  Berlin","1909","1938.0","1938.0","leather and shoes"
"Tuchhandlung Hansa Heinrich Silberspitz","Müllerstr. 40 b,  Berlin","1936","1940.0","","textiles and clothing"
"Leihhaus Hugo Kaufmann","Müllerstr. 40a,  Berlin","1932","1939.0","","banks and insurance"
"Dr. Max Levy GmbH","Müllerstr. 65,  Berlin","1928","1938.0","","electrical goods"
"Klasse-Kleidung GmbH (K.K.)","Müllerstr. 70a,  Berlin","1932","","","textiles and clothing"
"Schuhpflege des Westens","Münchener Str.  41,  Berlin","","","","leather and shoes"
"M. Fiedier","Münchener Str. ,  Berlin","","","","textiles and clothing"
"Elektromotoren Willo Willi Loewenstein","Münchener Str. 12,  Berlin","1936","1939.0","1941.0","electrical goods"
"Arnold Mamlock","Münchener Str. 18,  Berlin","1909","1939.0","","textiles and clothing"
"Leon Picker GmbH","Münchener Str. 18,  Berlin","1932","","","construction materials and fuel"
"Neuköllner Eisenmöbelfabrik Georg Brandt","Münchener Str. 22,  Berlin","1918","1939.0","","Möbel"
"Zinkblech-Vertriebs-Gesellschaft mbH","Münchener Str. 29,  Berlin","1932","1939.0","1939.0","metals and metal goods"
"Hugo Neumark","Münchener Str. 31,  Berlin","1917","1935.0","","banks and insurance"
"Conrad Friedländer","Münchener Str. 38,  Berlin","1924","1937.0","","banks and insurance"
"Paul Pinkus","Münchener Str. 49,  Berlin","1934","1937.0","","other"
"Max Weile junior","Münchener Str. 6,  Berlin","1922","1941.0","","Nahrungs- und Genussmittel"
"Abraham Friedberg","Münchener Str. 9,  Berlin","1922","1936.0","",""
"Minna Landauer","Münchner Str.  9,  Berlin","","","","textiles and clothing"
"Isack Fliegler","Münzstr.  19,  Berlin","","","",""
"Siegfr. Lewin Berliner-Planen-und -Deckenfabrik","Münzstr.  4,  Berlin","","","",""
"Heinco Herren-Ausstattungs-Magazin Heinrich Cohn","Münzstr. 11,  Berlin","1901","1938.0","1940.0","textiles and clothing"
"Sofie Bermann, Tuchgroßhandlung","Münzstr. 11,  Berlin","1937","1939.0","","textiles and clothing"
"P. Katz & Co","Münzstr. 11,  Berlin","1935","1940.0","","textiles and clothing"
"Julius Berlowitz","Münzstr. 12,  Berlin","1900","1939.0","","leather and shoes"
"Adam's Cigarrenfabriken","Münzstr. 14,  Berlin","1919","1940.0","","Nahrungs- und Genussmittel"
"Altstädtische Apotheke Inh. Apotheker Berthold Kremm","Münzstr. 14/15,  Berlin","1901","1938.0","","pharmacies"
"Berliner Plan- und Decken Vertrieb Lewin & Co","Münzstr. 15,  Berlin","1926","1940.0","","textiles and clothing"
"Fritz Brandmann","Münzstr. 16,  Berlin","1932","1938.0","1940.0","jewelry and precious metals"
"Caspar Markwald","Münzstr. 16,  Berlin","1904","1939.0","","textiles and clothing"
"W. Bernhard, Weingroßhandlung","Münzstr. 16,  Berlin","1901","1939.0","","Nahrungs- und Genussmittel"
"Fritz Stoehr","Münzstr. 17,  Berlin","1900","1939.0","","Möbel"
"Markus Kleinberger","Münzstr. 17,  Berlin","1931","1939.0","","Nahrungs- und Genussmittel"
"J. Strelitz","Münzstr. 2/3,  Berlin","1904","1941.0","","Möbel"
"Rudolf Schweitzer Tuche","Münzstr. 20,  Berlin","1933","1938.0","1940.0","textiles and clothing"
"Gebr. Wreschner","Münzstr. 20,  Berlin","1920","1938.0","","textiles and clothing"
"Hermann Krawitz & Co","Münzstr. 21,  Berlin","1926","1940.0","","jewelry and precious metals"
"Reich & Golombek","Münzstr. 22,  Berlin","1921","1939.0","1940.0","jewelry and precious metals"
"Gebr. Segal","Münzstr. 22,  Berlin","1929","1941.0","","textiles and clothing"
"Walther Albrecht & Co","Münzstr. 23,  Berlin","1931","1940.0","","jewelry and precious metals"
"Geka Schaufensterdekorationsatelier GmbH","Münzstr. 23a,  Berlin","1925","1936.0","","advertising"
"Leopold Kahn","Münzstr. 3,  Berlin","1911","1938.0","1940.0","textiles and clothing"
